edge_energy,edge_slope,wl_energy,wl_intensity,curvature_wl,pit_energy,pit_intensity,curvature_pit
6.548576310000000376e+03,-1.632505805359553051e+04,6.552989150000000336e+03,1.000000000000000000e+00,-1.861307945971502065e-03,6.557753639999999905e+03,8.956811776487674237e-01,7.488020472298795305e-04
6.548576310000000376e+03,-1.258316798175996882e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.038650513275480636e-03,6.557753639999999905e+03,8.973378520472610198e-01,7.081628098747072553e-04
6.548752849999999853e+03,-1.255872972307737473e+04,6.553165640000000167e+03,1.000000000000000000e+00,-1.960185285157040047e-03,6.557753639999999905e+03,8.997936049829617922e-01,9.477818961197981285e-04
6.548752849999999853e+03,-1.258160074588373209e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.141450830774882519e-03,6.557577199999999721e+03,9.030074189374335258e-01,8.652326588989012190e-04
6.548752849999999853e+03,-1.272698271570535690e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.472782931966400533e-04,6.575211620000000039e+03,7.478238673952565252e-01,2.691406772274140824e-04
6.548576310000000376e+03,-1.256209145520110724e+04,6.562516719999999623e+03,1.000000000000000000e+00,-6.946098363526387320e-04,6.562693100000000413e+03,9.997395213113678958e-01,-3.038918034043713856e-04
6.548752849999999853e+03,-1.258592324580543755e+04,6.562693100000000413e+03,1.000000000000000000e+00,-3.694239111391439678e-04,6.562869490000000042e+03,9.997392301803722514e-01,-1.303849098137355167e-04
6.548752849999999853e+03,-1.266410746591799216e+04,6.562693100000000413e+03,1.000000000000000000e+00,-2.176693949812735784e-04,6.562869490000000042e+03,9.998258644840150033e-01,-1.088346974907061782e-04
6.548752849999999853e+03,-1.297167988126219097e+04,6.562869490000000042e+03,1.000000000000000000e+00,-2.831247952246596089e-04,6.574682850000000144e+03,7.632989596601176263e-01,3.615285846713667262e-04
6.548752849999999853e+03,-1.282783681895240079e+04,6.562869490000000042e+03,1.000000000000000000e+00,-2.181433297659407522e-04,6.575387869999999566e+03,7.680700117928284110e-01,4.864596253781328095e-04
6.548929379999999583e+03,-1.255247006866060474e+04,6.562693100000000413e+03,1.000000000000000000e+00,-2.404525642526189610e-04,6.575211620000000039e+03,7.730827291824213798e-01,2.098495106204745220e-04
6.548752849999999853e+03,-1.254154194755506978e+04,6.562869490000000042e+03,1.000000000000000000e+00,-2.624272374559810661e-04,6.574682850000000144e+03,7.781440134547493725e-01,2.755485993287121183e-04
6.548752849999999853e+03,-1.257105910078481065e+04,6.563045869999999923e+03,1.000000000000000000e+00,-3.504128130127071028e-04,6.574682850000000144e+03,7.833397577142439117e-01,2.847104105727915613e-04
6.548752849999999853e+03,-1.246174412690654390e+04,6.563045869999999923e+03,1.000000000000000000e+00,-2.851877226247023778e-04,6.574682850000000144e+03,7.889259852303471821e-01,2.873814743371838620e-04
6.548752849999999853e+03,-1.255535032554027384e+04,6.562869490000000042e+03,1.000000000000000000e+00,-1.976757096772696620e-04,6.574682850000000144e+03,7.952167503613908339e-01,2.174432806451020994e-04
6.548752849999999853e+03,-1.260297848440190864e+04,6.562869490000000042e+03,1.000000000000000000e+00,-3.079675291355610245e-04,6.574682850000000144e+03,8.015809205140648208e-01,2.023786620033996009e-04
